"id";"title";"slug";"price_guide"
598;"553";"ferrari-553";0
599;"575";"ferrari-575";0
600;"575M";"ferrari-575m";0
601;"599";"ferrari-599";0
602;"612";"ferrari-612";0
603;"625";"ferrari-625";0
604;"735";"ferrari-735";0
605;"750";"ferrari-750";0
606;"801";"ferrari-801";0
607;"850";"ferrari-850";0
608;"C62";"ferrari-c62";0
609;"D";"ferrari-d";0
610;"Dino";"ferrari-dino";0
611;"Enzo";"ferrari-enzo";0
612;"F";"ferrari-f";0
613;"F333";"ferrari-f333";0
614;"F355";"ferrari-f355";0
615;"F-355";"ferrari-f-355";0
616;"F399";"ferrari-f399";0
617;"F40";"ferrari-f40";0
618;"F430";"ferrari-f430";0
619;"F50";"ferrari-f50";0
620;"F512";"ferrari-f512";0
621;"F55";"ferrari-f55";0
622;"F550";"ferrari-f550";0
623;"GTO";"ferrari-gto";0
624;"KS";"ferrari-ks";0
625;"Maranello";"ferrari-maranello";0
626;"Mondial";"ferrari-mondial";0
627;"Mythos";"ferrari-mythos";0
628;"Pinin";"ferrari-pinin";0
629;"Rossa";"ferrari-rossa";0
630;"Superamerica";"ferrari-superamerica";0
631;"Testarossa";"ferrari-testarossa";0
632;"1100";"fiat-1100";0
633;"1200";"fiat-1200";0
634;"124";"fiat-124";0
635;"125";"fiat-125";0
636;"126";"fiat-126";0
637;"127";"fiat-127";0
638;"128";"fiat-128";0
639;"130";"fiat-130";0
640;"1300";"fiat-1300";0
641;"131";"fiat-131";0
642;"132";"fiat-132";0
643;"133";"fiat-133";0
644;"1400";"fiat-1400";0
645;"1500";"fiat-1500";0
646;"1600";"fiat-1600";0
647;"1800";"fiat-1800";0
648;"1900";"fiat-1900";0
649;"2100";"fiat-2100";0
650;"2300";"fiat-2300";0
651;"500";"fiat-500";0
652;"500C";"fiat-500c";0
653;"600";"fiat-600";0
654;"750";"fiat-750";0
655;"850";"fiat-850";0
656;"Abarth";"fiat-abarth";0
657;"Albea";"fiat-albea";0
658;"Argenta";"fiat-argenta";0
659;"Armadillo";"fiat-armadillo";0
660;"Barchetta";"fiat-barchetta";0
661;"Berline";"fiat-berline";0
662;"Brava";"fiat-brava";0
663;"Bravo";"fiat-bravo";0
664;"Campagnola";"fiat-campagnola";0
665;"Croma";"fiat-croma";0
666;"Dino";"fiat-dino";0
667;"Doblo";"fiat-doblo";0
668;"Ducato";"fiat-ducato";0
669;"Duna";"fiat-duna";0
670;"Ecobasic";"fiat-ecobasic";0
671;"Fiorino";"fiat-fiorino";0
672;"Grand";"fiat-grand";0
673;"Idea";"fiat-idea";0
674;"Legram";"fiat-legram";0
675;"Linea";"fiat-linea";0
676;"Marea";"fiat-marea";0
677;"Mirafiori";"fiat-mirafiori";0
678;"Multipla";"fiat-multipla";0
679;"Palio";"fiat-palio";0
680;"Panda";"fiat-panda";0
681;"Punto";"fiat-punto";0
682;"Regata";"fiat-regata";0
683;"Ritmo";"fiat-ritmo";0
684;"Scudo";"fiat-scudo";0
685;"Sedici";"fiat-sedici";0
686;"Seicento";"fiat-seicento";0
687;"Siena";"fiat-siena";0
688;"Stilo";"fiat-stilo";0
689;"Strada";"fiat-strada";0
690;"Tempra";"fiat-tempra";0
691;"Tipo";"fiat-tipo";0
692;"Ulysse";"fiat-ulysse";0
693;"Uno";"fiat-uno";0
694;"Vivace";"fiat-vivace";0
695;"021";"ford-021";0
696;"12";"ford-12";0
697;"17";"ford-17";0
698;"2000";"ford-2000";0
699;"24.7";"ford-247";0
700;"427";"ford-427";0
701;"49";"ford-49";0
702;"Aerostar";"ford-aerostar";0
703;"Anglia";"ford-anglia";0
704;"Artic";"ford-artic";0
705;"Aspire";"ford-aspire";0
706;"Bantam";"ford-bantam";0
707;"Bronco";"ford-bronco";0
708;"Capri";"ford-capri";0
709;"C-Max";"ford-c-max";0
710;"Coin";"ford-coin";0
711;"Consul";"ford-consul";0
712;"Contour";"ford-contour";0
713;"Corsair";"ford-corsair";0
714;"Cortina";"ford-cortina";0
715;"Cougar";"ford-cougar";0
716;"Courier";"ford-courier";0
717;"Crestline";"ford-crestline";0
718;"Crown";"ford-crown";0
719;"Custom";"ford-custom";0
720;"Desert";"ford-desert";0
721;"E-150";"ford-e-150";0
722;"E-250";"ford-e-250";0
723;"E-350";"ford-e-350";0
724;"Econoline";"ford-econoline";0
725;"Econovan";"ford-econovan";0
726;"Edge";"ford-edge";0
727;"e-Ka";"ford-e-ka";0
728;"Equator";"ford-equator";0
729;"Escape";"ford-escape";0
730;"Escort";"ford-escort";0
731;"Excursion";"ford-excursion";0
732;"Expedition";"ford-expedition";0
733;"Explorer";"ford-explorer";0
734;"Extreme";"ford-extreme";0
735;"F";"ford-f";0
736;"F-150";"ford-f-150";0
737;"F-250";"ford-f-250";0
738;"F-350";"ford-f-350";0
739;"F-450";"ford-f-450";0
740;"F-650";"ford-f-650";0
741;"Fairlane";"ford-fairlane";0
742;"Falcon";"ford-falcon";0
743;"Festiva";"ford-festiva";0
744;"Fiesta";"ford-fiesta";0
745;"Five";"ford-five";0
746;"Five-Hundred";"ford-five-hundred";0
747;"Flex";"ford-flex";0
748;"Focus";"ford-focus";0
749;"Freestar";"ford-freestar";0
750;"Freestyle";"ford-freestyle";0
751;"Fusion";"ford-fusion";0
752;"Galaxy";"ford-galaxy";0
753;"Granada";"ford-granada";0
754;"GT";"ford-gt";0
755;"Husky";"ford-husky";0
756;"Ikon";"ford-ikon";0
757;"Indigo";"ford-indigo";0
758;"Ka";"ford-ka";0
759;"Kuga";"ford-kuga";0
760;"Laser";"ford-laser";0
761;"Libre";"ford-libre";0
762;"Lotus";"ford-lotus";0
763;"Lynx";"ford-lynx";0
764;"Maverick";"ford-maverick";0
765;"Megastar";"ford-megastar";0
766;"Meteor";"ford-meteor";0
767;"Model";"ford-model";0
768;"Monarch";"ford-monarch";0
769;"Mondeo";"ford-mondeo";0
770;"Mustang";"ford-mustang";0
771;"Orion";"ford-orion";0
772;"Pilot";"ford-pilot";0
773;"Popular";"ford-popular";0
